'Mesa', 565.711,-93.526, 1.000, 1.000, 0, 7,'','', 7, 4, 0
'Mesa', 718.801,-93.526, 1.000, 1.000, 0, 8,'','', 8, 2, 0
'Monitor', 371.498,-51.631, 1.000, 1.000, 0, 13,'LG','20', 0, 0, 3
'Monitor', 453.091,-51.537, 1.000, 1.000, 3, 15,'LG','22', 0, 0, 3
'Monitor', 525.859,-51.643, 1.000, 1.000, 3, 17,'LG','24', 0, 0, 3
'Monitor', 606.181,-51.537, 1.000, 1.000, 3, 19,'LG','26', 0, 0, 3
'Monitor', 678.948,-51.643, 1.000, 1.000, 3, 21,'Samsung','28', 0, 0, 5
'Monitor', 759.271,-51.537, 1.000, 1.000, 3, 23,'Samsung','30', 0, 0, 5
'Monitor', 453.653,-19.082, 1.000, 1.000, 180, 14,'Samsung','21', 0, 0, 5
'Monitor', 524.587,-19.189,-1.000, 1.000, 180, 9,'LG','7', 0, 0, 3
'Monitor', 604.910,-19.082,-1.000, 1.000, 180, 18,'LG','25', 0, 0, 3
'Monitor', 677.677,-19.189,-1.000, 1.000, 180, 20,'Samsung','27', 0, 0, 5
'Monitor', 757.999,-19.082,-1.000, 1.000, 180, 22,'LG','29', 0, 0, 1
'Silla', 374.355, 41.367, 1.000, 1.000, 0, 18,'Homecenter','19', 0, 0, 0
'Silla', 456.208, 40.853, 1.000, 1.000, 0, 20,'Homecenter','21', 0, 0, 0
'Silla', 527.445, 41.367, 1.000, 1.000, 0, 22,'Homecenter','23', 0, 0, 0
'Silla', 603.978, 41.367,-1.000, 1.000, 0, 24,'Homecenter','25', 0, 0, 0
'Silla', 675.215, 40.853,-1.000, 1.000, 360, 26,'Homecenter','27', 0, 0, 0
'Silla', 762.388, 40.853, 1.000, 1.000, 0, 28,'Homecenter','29', 0, 0, 0
'Silla', 833.624, 41.367, 1.000, 1.000, 0, 30,'Homecenter','31', 0, 0, 0
'Silla', 303.119,-112.122,-1.000, 1.000, 180, 17,'Homecenter','18', 0, 0, 0
'Silla', 374.355,-112.636,-1.000, 1.000, 180, 19,'Homecenter','20', 0, 0, 0
'Silla', 450.888,-112.636, 1.000, 1.000, 180, 21,'Homecenter','22', 0, 0, 0
'Silla', 522.125,-112.122, 1.000, 1.000, 180, 23,'Homecenter','24', 0, 0, 0
'Silla', 609.298,-112.122,-1.000, 1.000, 180, 25,'Homecenter','26', 0, 0, 0
'Silla', 680.535,-112.636,-1.000, 1.000, 180, 27,'Homecenter','28', 0, 0, 0
'Silla', 757.068,-112.636, 1.000, 1.000, 180, 29,'Homecenter','30', 0, 0, 0
'Silla', 828.304,-112.122, 1.000, 1.000, 180, 31,'Homecenter','32', 0, 0, 0
'Keyboard', 338.211,-83.266, 1.000, 1.000, 0, 13,'Logitech','20', 0, 0, 3
'Keyboard', 424.511,-83.317, 1.000, 1.000, 0, 15,'Logitech','22', 0, 0, 3
'Keyboard', 495.517,-83.317, 1.000, 1.000, 0, 17,'Logitech','24', 0, 0, 3
'Keyboard', 573.598,-82.391, 1.000, 1.000, 0, 19,'Logitech','26', 0, 0, 3
'Keyboard', 641.820,-81.862, 1.000, 1.000, 0, 21,'Logitech','28', 0, 0, 3
'Keyboard', 728.551,-81.334, 1.000, 1.000, 0, 23,'Logitech','30', 0, 0, 3
'Keyboard', 487.060, 13.205, 1.000, 1.000, 180, 14,'Logitech','21', 0, 0, 3
'Keyboard', 555.466, 12.195, 1.000, 1.000, 180, 16,'Logitech','23', 0, 0, 3
'Keyboard', 635.405, 12.191, 1.000, 1.000, 180, 18,'Logitech','25', 0, 0, 3
'Keyboard', 709.540, 12.528, 1.000, 1.000, 180, 20,'Logitech','27', 0, 0, 3
'Keyboard', 790.751, 10.171, 1.000, 1.000, 180, 22,'Logitech','29', 0, 0, 3
'mouse', 396.994,-76.816, 1.000, 1.000, 0, 13,'Logitech','20', 0, 0, 3
'mouse', 479.278,-77.037, 1.000, 1.000, 0, 15,'Logitech','22', 0, 0, 3
'mouse', 550.932,-75.895, 1.000, 1.000, 0, 17,'Logitech','24', 0, 0, 3
'mouse', 627.540,-77.418, 1.000, 1.000, 0, 19,'Logitech','26', 0, 0, 3
'mouse', 699.273,-76.647, 1.000, 1.000, 0, 21,'Logitech','28', 0, 0, 3
'mouse', 784.267,-73.981, 1.000, 1.000, 0, 23,'Logitech','30', 0, 0, 3
'mouse', 432.217, 5.146, 1.000, 1.000, 180, 14,'Logitech','21', 0, 0, 3
'mouse', 500.584, 3.611, 1.000, 1.000, 180, 16,'Logitech','23', 0, 0, 3
'mouse', 579.320, 3.994, 1.000, 1.000, 180, 18,'Logitech','25', 0, 0, 3
'mouse', 654.600, 6.176, 1.000, 1.000, 180, 20,'Logitech','27', 0, 0, 3
'mouse', 734.966, 1.306, 1.000, 1.000, 180, 22,'Logitech','29', 0, 0, 3
'Televisor', 93.749, 329.315, 1.000, 1.000, 180, 1,'Samsung','', 0, 0, 0
